,product_title,price_kes,price_gbp
0,AILYONS FK-0301 Stainless Steel 2.0L Electric Kettle-Black,480.0,62119.84
1,Sonar SR-A3 Hot & Normal Water Dispenser - Plastic - 300x290x840mm - Black plus 3 cups free gift,1999.0,258703.25
2,"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil - Silver & Black (1YR WRTY)",490.0,63414.0
3,AILYONS 2L Stainless Steel Electric Kettle | 1500W Fast Boil | Auto Shut-Off | Boil Dry Protection | 1 Year Warranty,470.0,60825.68
4,Em ElectroMate Water Dispenser with Hot and Normal White Water Dispenser WD01,2099.0,271644.88
5,NIVEA UV Sunscreen Face Shine Control Cream SPF 50 - 40ml.,849.0,109874.47
6,6Pcs Soft Cotton Checked Men's Boxers – Multicolor (Sizes 28-32),489.0,63284.59
7,Em Dry Iron Box 1000W with 5-Gear Temperature Control - Bluw/White IB01 (1YR WRTY),649.0,83991.2
8,RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,395.0,51119.45
9,Lyons Electric Dry Iron 1000W Non-Stick Soleplate Fast Heating Iron Box AN-2005,650.0,84120.62
